attribute,chineseName,described,distribution,originalName,scientificName
Endemic,台灣糯米條,"Low shrubs, 1–1.5m tall; bark of older branches longitudinally cracked, branchlets pubescent.Leaves ovate to linear-oblong or elliptic-globose, dentate to crenate, sometimes entire, 0.6–1.5(–2) cm long, 0.2–1(–1.3) cm broad, on branchlets with rapid elongation up to 3 cm long, 2.0 cm broad, base obtuse to cordate, apex acute to round, lower surface pale.Peduncles 1–4 together, subtended by a bract. Cymes lateral or terminal, in panicle-like clusters. Flowers sessile, on 1- or 2-flowered peduncles with bracteoles; bracteoles usually 4, whorled ; calyx tube linear-lanceolate, 3–4 mm long in flower, ca. 5 mm long in fruit, lobes obovate, 4–5 mm long in flower, 5–9 mm long in fruit; corolla tubular-campanulate, pink turning white in age, ca. 1 cm long; lobe subequal; stamens exserted; style exserted.Fruit linear-lanceolate, ca. 5 mm long, crowned with elongated calyx lobes. is characterized by the exserted stamens and style and leaves 2–5 cm long. Variety ionandra usually has leaves less than 2 cm long.",World:The typical variety occurs in southern China; variety  is endemic to Taiwan.Taiwan:In rocky places on Keelung Island and along the eastern coast below 1500m.,Abelia chinensis var. ionandra,Abelia chinensis R. Br.var. ionandra (Hayata) Masam.
,合萌,"An annual, erect herb, branched above, 30–120 cm high, glabrous.Leaves odd-pinnate; leaflets numerous, 20–30 pairs, linear or oblong, obtuse at the apex, 10–15 mm long; stipules lanceolate, 1 cm long, produced at the base below their insertion, deciduous.Racemes axillary, 1–4-flowered; flowers yellow, 8 mm long; calyx 2-lipped, the upper lip entire or slightly 2-cleft, the lower 3-lobed; stamens in 2 sets of 5 each.Pods linear, straight or curved, 1–3 cm long, 4–8-jointed.","World:Pantropic.Taiwan:Spreading in the island on wet and open places, near paddy field as one of the green manure.",Aeschynomene indica,Aeschynomene indica L.
Naturalized,毛果美洲合萌,,,Aeschynomene americana var. glandulosa,Aeschynomene americana L.var. glandulosa (Poir.
,,,,Aeschynomene americana var. americana,
Naturalized,敏感合萌,"A herb with slender sticky branches, about 150–200 cm tall; stipules lanceolate, 1–1.2 cm long.Leaves odd-pinnate; leaflets 15–20 pairs, linear-oblong, acute at apex, 8–10 mm long, the veins 2–4.Flowers 2–4, in sparse corymbose; bracts ovate, leafy; calyx deeply 2-lipped; petals 7 mm long, yellow.Pods 4–7-jointed, the ventral suture undulate and deeply indented, 2.5–3 cm long.",World:In America.Taiwan:Cultivated or naturalized in dry and open roadside in the central and southern parts.,Aeschynomene americana,Aeschynomene americana L.
,長果藤,"Stems 25–150 cm long, glabrous, usually branched.Leaves opposite; petiole 2–11 mm long; blade lanceolate to elliptic or narrowly oblanceolate, rarely oblong, 4.5–12 cm long, 1.4–3 (–5) cm wide, leathery; both surfaces glabrous, base cuneate to narrowly cuneate, margins entire to shallowly crenulate, apex acuminate, lateral veins 4–6 pairs, indistinct.Cymes axillary or pseudoterminal, 1–3-flowered; peduncle 0.8–3 cm long, glabrous; bracts persistent, reddish, suborbicular, 3–9 mm long, 4–10 mm wide, glabrous. Pedicel 7–12 mm long, glabrous. Calyx red; 5-merous, divided to base; segments equal, ovate to ovate-oblong or obovate, 2.5–5(–7) mm long, 2–3 mm wide, glabrous, apex obtuse to rounded. Corolla red, 1.5–2.2 cm long, outside glabrous, inside puberulous at base of abaxial lip, without a ring of hairs; tube tubular, 0.8–1.6 cm long, 0.5–0.6 cm in diam.; limb distinctly 2-lipped, upper lip erect, ca. 4.5 mm long, lower lip reflexed, ca. 5 mm long. Stamens exserted; filaments 1.2–2.2 cm long, sparsely glandular puberulous; anthers coherent in pairs at apex, 1.5–2 mm long, glabrous; staminode 1.2–2 mm long. Gynoecium 1.6–2 cm long, glabrous; style ca. 4 mm long.Capsule 6.5–16 cm long. Seeds fusiform, ca. 0.6 mm long, each end with 1 hair-like appendage, 1.5–4 mm long.","World:Bhutan, Nepal, northern India, Myanmar, Thailand, Cambodia, Laos, northern Vietnam, southern China and Malaysia.Taiwan:On trees or rocks in forested valleys and streamsides at low and middle elevations.",Aeschynanthus acuminatus,Aeschynanthus acuminatus Wall. ex A. DC.
,蔓雞冠,"Climbing undershrubs, much branched, branches cylindric, densely tomentose.Leaves pedicellate, opposite, ovate, 1–3 cm long, 0.7–1.5 cm wide, obtuse or acute at apex, tomentose to glabrous at both ends.Inflorescence a terminal spike, cylindric, 1–4 cm long; perianth segments 4 or 5, white, thin, lanceolate-acuminate, 2–3 mm long, with silky hairs at base; stamens 4 or 5, connate at base; stigma capitate, very short.Utricles circumscissile;seeds reniform, black, shining, ca. 1 mm long and as wide.","World:Africa, Java, Malaysia, southern and southwestern China and the Philippines.Taiwan:Mainly in waste places in the southern part of Taiwan.",Aerva sanguinolenta,Aerva sanguinolenta Bl.
,,,,Aeridostachya robusta,
,野菰,"Herbs, reddish; stems very short.Scales deltoid, 5–10 mm long, glabrous, apex acuminate or long- acuminate.Flowers 3–5 cm long; pedicels erect, 15–25 cm long, glabrous; calyx 2–3 cm long, apex acute or acuminate; corolla pinkish-purple, 2–5 cm long, glabrous; filaments purple, glabrous.Capsules ovoid-globose, 1.5–2.5 cm long.",World:Tropical and subtropical Asia; usually parasitic on .Taiwan:At low elevations.,Aeginetia indica,Aeginetia indica L.
,,,,Aegiceras corniculatum,
