通稱,name,scientificName,chineseName,attribute,described,distribution
糯米條;六道木,Abelia chinensis,Abelia chinensis R. Br.var. ionandra (Hayata) Masam.,台灣糯米條,Endemic,"Low shrubs, 1–1.5m tall; bark of older branches longitudinally cracked, branchlets pubescent.Leaves ovate to linear-oblong or elliptic-globose, dentate to crenate, sometimes entire, 0.6–1.5(–2) cm long, 0.2–1(–1.3) cm broad, on branchlets with rapid elongation up to 3 cm long, 2.0 cm broad, base obtuse to cordate, apex acute to round, lower surface pale.Peduncles 1–4 together, subtended by a bract. Cymes lateral or terminal, in panicle-like clusters. Flowers sessile, on 1- or 2-flowered peduncles with bracteoles; bracteoles usually 4, whorled ; calyx tube linear-lanceolate, 3–4 mm long in flower, ca. 5 mm long in fruit, lobes obovate, 4–5 mm long in flower, 5–9 mm long in fruit; corolla tubular-campanulate, pink turning white in age, ca. 1 cm long; lobe subequal; stamens exserted; style exserted.Fruit linear-lanceolate, ca. 5 mm long, crowned with elongated calyx lobes. is characterized by the exserted stamens and style and leaves 2–5 cm long. Variety ionandra usually has leaves less than 2 cm long.",World:The typical variety occurs in southern China; variety  is endemic to Taiwan.Taiwan:In rocky places on Keelung Island and along the eastern coast below 1500m.
臺灣糯米條,Abelia chinensis var. ionandra,Abelia chinensis R. Br.var. ionandra (Hayata) Masam.,台灣糯米條,Endemic,"Low shrubs, 1–1.5m tall; bark of older branches longitudinally cracked, branchlets pubescent.Leaves ovate to linear-oblong or elliptic-globose, dentate to crenate, sometimes entire, 0.6–1.5(–2) cm long, 0.2–1(–1.3) cm broad, on branchlets with rapid elongation up to 3 cm long, 2.0 cm broad, base obtuse to cordate, apex acute to round, lower surface pale.Peduncles 1–4 together, subtended by a bract. Cymes lateral or terminal, in panicle-like clusters. Flowers sessile, on 1- or 2-flowered peduncles with bracteoles; bracteoles usually 4, whorled ; calyx tube linear-lanceolate, 3–4 mm long in flower, ca. 5 mm long in fruit, lobes obovate, 4–5 mm long in flower, 5–9 mm long in fruit; corolla tubular-campanulate, pink turning white in age, ca. 1 cm long; lobe subequal; stamens exserted; style exserted.Fruit linear-lanceolate, ca. 5 mm long, crowned with elongated calyx lobes. is characterized by the exserted stamens and style and leaves 2–5 cm long. Variety ionandra usually has leaves less than 2 cm long.",World:The typical variety occurs in southern China; variety  is endemic to Taiwan.Taiwan:In rocky places on Keelung Island and along the eastern coast below 1500m.
黃秋葵,Abelmoschus esculentus,,,,,
蘭嶼秋葵,Abelmoschus lanyunatus,,,,,
剛毛黃蜀葵,Abelmoschus manihot var. pungens,,,,,
香葵,Abelmoschus moschatus,Abelmoschus moschatus (L.) Medicus,香葵,Naturalized,"An annual erect herb; petioles, pedicels and leaves covered with stellate hairs, rarely glabrous.Leaves chartaceous, variable in size and shape, mostly orbicular in outline, 3–7-lobed or parted, the apex acuminate, the base cordate, the margin usually toothed, 15–25 cm long, 5–9-nerved at base; petioles as long as or longer than the leaves; stipules linear, hairy.Flowers solitary, axillary epicalyx-segments 7–9, linear, about 1.5 cm long, hairy; calyx stellate-tomentose, about 3 cm long; corolla large, yellow; petals obovate, slightly hairy, staminal tube glabrous; ovary hirsute, ovoid.Capsule ovoid or oblong, about 5–8 cm long, more or less hairy.","World:India, Malaysia to the Pacific Islands.Taiwan:In waste places and fallow fields."
臺灣冷杉,Abies kawakamii,Abies kawakamii (Hayata) Ito,台灣冷杉,Endemic,,
雞母珠;美麗相思子,Abrus precatorius,Abrus precatorius L.,雞母珠,,"A climbing shrub, much branched, the branches slender.	Leaves 5–8 cm long, deciduous; leaflets 20–40, membranaceous, rhomboid, 2–3 cm long.	Pseudoracemes many-Flowered, axillalry; corolla reddish or white.Pods ellipsoid, 2.5–4 cm long, containing 4–6 seeds. Seeds bright scarlet, with a black spot on one side.","World:	Pantropics;Taiwan:Taiwan, in dry and open places, including thickets secondary forest, windbreak, waste place or along the rivers on the central and southern part."
泡果莔;泡果?,Abutilon crispum,Abutilon crispum (L.) Medicus,泡果莔,Naturalized,"A suffrutescent herb, usually creeping. Stem pubscent.Leaves cordate, ca. 4.0–7.0 cm long, 3.0–6.0 cm wide; apex acuminate; base cordate; margin crenate to serrate; stellate on both surfaces; petioles sessile or near so, ca. 0.2-0.5 cm long; stipules linear.Flowers yellow, solitary and axillary; pedicels 2.0–4.0 cm long; calyx green, disc-shaped, densely pubescent, 5-lobed, segments ovate, ca. 0.3-0.4 cm long, apex acuminate; corolla ca. 1.0 cm across, petals 5, yellow, glabrous, obovate or broadly obovate, ca. 0.5 cm long; staminal tube glabrous; carpels about 15, densely pubescent.Capsules globular or pumpkin-form, ca. 1.0–2.0 cm across, composed of 10–15 pubesent carpels, without beaked at apex; persistent calyx much shorter than capsule; seeds many, dark brown, ca. 0.2 cm long, sparse bristle.","World:The species originally distributed around tropical and subtropical America, and now it is found from Australia, Vietnam, Mainland China (Hainan Prov.) and India.Taiwan:Only found in waste places or along roadside of central part of the island."
大葉莔麻,Abutilon grandifolium,Abutilon grandifolium (Will.) Sweet,大葉莔,Naturalized,,
毛莔,Abutilon hirtum,Abutilon hirtum (Lamk.) Sweet,毛莔,,,
疏花莔麻,Abutilon hulseanum,,,,,
冬葵子,Abutilon indicum,Abutilon indicum (L.) Sweet,冬葵子,,"An erect suffrutescent herb, ca. 1.0–2.5 m tall, branched, pubescent.Leaves ovate to orbicular, ca. 2.0–10 cm long, 3,0–11 cm wide; apex acute or acuminate; base cordate; margin entire or irregularly toothed; stellate on both surfaces; petioles 3.5–13 cm long, pubescent; stipules linear.Inflorescence solitary or paniculate, axillary or terminal; pedicels ca. 2.0–7.0 cm long, pubescent. Flowers yellow; calyx green, disc-shaped, pubescent, 5-lobed, segments broadly ovate or triangular, ca. 0.35-0.6 cm long, apex acute; corolla ca. 2.0–2.5 cm across, petals 5, yellow, glabrous or nearly, ca. 0.7-0.8 cm long; staminal tube stellate-hirsute; carpels 15–20, densely pubescent.Capsules compressed globular or millstone-like, ca. 1.2–2.5 cm across, composed 15–20 pubescent carpels, with beaked at apex; persistent calyx much shorter than capsule; seeds many, dark brown, ca. 0.3 cm long, almost glabrous or sometimes with sparse bristle.","World:Tropical and subtropical Asia, from India, Sri Lanka, Burma, China (Yunnan, Guizhou, Guangxi, Hainan, Guangdong, Fujiang), Thailand, Cambodia, Laos, Veitnam to Taiwan, and south to Indonesia.Taiwan:Common through whole island, especially in waste places or along roadside."
畿內冬葵子,Abutilon indicum var. guineense,Abutilon indicum (L.) Sweetvar. guineense (Schumach.) Feng,畿內冬葵子,,"An erect suffrutescent herb, ca. 0.5–1 m tall, branched, pubescent.Leaves orbicular to broadly ovate, ca. 4.5–11.5 cm long, 3.5–12 cm wide; apex acute or acuminate; base cordate; margin irregularly crenate, dentate or entire; tomentose and stellate hairy on both surfaces; petioles 3.0–10.5 cm long, pubescent; stipules linear.Inflorescence solitary or paniculate, axillary or terminal; pedicels ca. 2.5–7.0 cm long, pubescent. Flowers yellow; calyx green, disc-shaped, stellate, 5-lobed, segments broadly ovate or triangular, ca. 1.0–1.6 cm long, apex acute; corolla ca. 2.0–2.5 cm across, petals 5, yellow, glabrous or nearly, ca. 1.5 cm long; staminal tube glabrous; carpels 15–22, densely pubescent.Capsules compressed globular or millstone-like, ca. 1.5–2.5 cm across, composed 15–22 pubescent carpels, with beaked at apex; persistent calyx as long as capsule; seeds many, dark brown, ca. 0.2-0.4 cm long, sparse bristle.","World:Distributed in tropical and subtropical Asia, Africa, Australia area, mainly in south hemisphere. The taxon distributed in Guinea, Malaysia, Indonesia, Australia, tropical Africa and Taiwan.Taiwan:Found along seaside, sand places or sometimes waste places."
風鈴花,Abutilon striatum,Abutilon striatum Dicks. ex Lindl.,風鈴花,Naturalized,,
莔麻,Abutilon theophrasti,,,,,
藤相思樹,Acacia caesia,Acacia caesia (L.) Willd.,藤相思樹,,"A climbing shrub; branches and petioles angular, densely short reflexd prickled.Leaves bipinnate; pinnae 6–16; leaflets 30–60, linear-oblong, subcoriaceous, 4–5 mm long; glands round at the base of pinnae and square at the upper part of petiole.Flowers yellow, in panicled heads, 1–1.1 cm across.Pods straight, ovoid-cylindric, smooth, persistent bract, dehiscent, 6–10 cm long, 2 cm wide, containing 8–12 seeds.","World:Indo-Malaya;Taiwan:Taiwan, in secondary forests at low altitudes, rather scarce."
相思樹,Acacia confusa,Acacia confusa Merr.,相思樹,,"An evergreen tree, the trunk up to 1 m across.Phyllodia sessile, alternate, coriaceous, lanceolate, falcate, 8–10 cm long, attenuate at both ends, 3–5 parallel veined.Flowers on simple, terminal golden-yellow heads, 6–9 mm wide.Pods punctate, septate, acute ends, 5–10 cm long, 8 mm across, containing 7–8 seeds.","World:N. Philippines.Taiwan:Taiwan, throughout the island, very common in secondary forest and wastelands."
銀栲,Acacia dealbata,Acacia dealbata Link.,銀栲,Cultivated,"A tree, up to 12 m high; branchlets glabrous, angular.Leaves with 6–12 pinnae, each with 30–50 leaflets; petiole-glands a little lower at the middle portion of petiole; leaflets obliquely lanceolate, the main vein near to one side of margin, 0.8–1.3 cm long, 0.2-0.4 cm wide, the base truncate, nearly at right angle.Flowers in racemose globose-head, the filaments light pink.Pods flat, 5–10 cm long. 1.3–1.5 cm wide.","World:Iran to China.Taiwan:Taiwan, along river banks at low to medium altitudes, occasionally cultivated."
金合歡,Acacia farnesiana,Acacia farnesiana (L.) Willd.,金合歡,Naturalized,"An erect shrub, the branches zigzag with forking prickles, 2–4 m high, the stipular spines sharp.Leaves pinnate, 5–8 cm long; leaflets 10–20 pairs, linear-oblong, 4–7 mm long; glands on the upper part of petiole. Inflorescence in pedunculate axillary heads, 1–4 heads together, subglobose, 2.5–3 cm long;Flowers yellow, fragrant, 4–5 mm across; stamens numerous.Pods turgid, 5–7 cm long, 1–1.5 cm wide, straight or falcate, oblique-striate, acute apex. Seeds compressed, elliptic.","World:A native of tropical America, now pantropic.Taiwan:Taiwan, widely distributed in the southern part of the island."
屏東鐵莧,Acalypha akoensis,Acalypha akoensis Hayata,屏東鐵莧,Endemic,"A shrub; branches reddish, terete, subglabrous.Leaves membranaceous, ovate, 12–16 cm long, 8–11 cm broad, the apex cuspidate-acute, the base cuneate-cordate or rounded-cordate, the margins serrulate, sparingly pilose on both surfaces; petioles 6–9 cm long, densely pubescent; stipules lanceolate, 12 mm long, acuminate.Male spikes filiform, recurved, 16–20 cm long, villose; peduncles 1 cm long. Female spikes slender, 5–9 cm long, pubescent; peduncles 1 cm long; bracts ovate, 3.5 mm long, 5 mm broad, 10-dentate, pubescent outside; bracteoles minute; ovary 3-lobed, hirsute; styles about 2.5 mm long.",Taiwan:Endemic. In the central and southern parts at low altitudes.
臺灣鐵莧,Acalypha angatensis,Acalypha angatensis Blanco,台灣鐵莧,,"A shrub; branches hirsute.Leaves membranaceous, long-petiolate, rounded-ovate, 18–23 cm long, 13–15 cm broad, the apex cuspidate-acute, the base broadly rounded, the margins serrulate, rarely hirsute; petioles 8–10 cm long; stipules acuminate-ovate, 8 mm long.Female spikes axillary, solitary, slender, 7 cm long; peduncles 1 cm long; each flower subtended by a semi-orbicular, 10-dentate bract, about 5 mm long, 7 mm broad; sepals 3, ovate, ciliate; ovary globose, 3-lobed, about 0.7 mm long, hirsute; styles about 4 mm long.","World:The Philippines.Taiwan:Mainly in the central-southern part, in thickets at medium altitudes."
